plants,LED,,,Parameters,,,,,,,,,,,,,,,,,,,,
,R,G,B,stem diameter (mm),No. leaf,FW (g),DW (g),root FW (g),root DW (g),stem length (cm),leaf area (cm^2),root length (cm),root diameter (mm),leaf width,leaf length,,,,,,,,,
Basil,95,,5,,103.67,42.92,11.95,,,48.05,,,,,,,,,,,,,,
Basil,100,,,,90.5,32.68,9.37,,,51.12,,,,,,,,,,,,,,
Sweet peper,83,,17,,183.39,650.88,218.37,,,467.48,,,,,,,,,,,,,,
Sweet peper,91,,9,,191.61,683.89,305.49,,,492.27,,,,,,,,,,,,,,
Sweet peper,95,,5,,215.37,783.71,197.03,,,568.33,,,,,,,,,,,,,,
Sweet peper,100,,,,161.39,620.82,183.67,,,459.42,,,,,,,,,,,,,,
Lettuce ,16.6667,,83.3333,,10,9.4,0.44,,,9.7,234,,,,,,,,,,,,,
Lettuce ,25,,75,,10,10.6,0.46,,,10.1,255,,,,,,,,,,,,,
Lettuce ,50,,50,,9,10.3,0.55,,,11,243,,,,,,,,,,,,,
Lettuce ,75,,25,,10,10.7,0.26,,,11.9,271,,,,,,,,,,,,,
Lettuce ,83.3333,,16.6667,,9,10.9,0.25,,,12.7,295,,,,,,,,,,,,,
Lettuce ,66.6667,,33.3333,,,9.1,0.59,1.89,0.093,,182.9,2098.2,,,,,,,,,,,,
Lettuce ,75,,25,,,10,0.58,1.93,0.094,,200.8,2240.9,,,,,,,,,,,,
Lettuce ,80,,20,,,9.2,0.53,1.75,0.093,,184.5,1616.6,,,,,,,,,,,,
Lettuce ,88.8889,,11.1111,,,12.4,0.68,2.71,0.125,,235.6,3345.9,,,,,,,,,,,,
Red Oakleaf,100,,,,,21.51,1.35,,,,,,,,,,,,,,,,,
Red Oakleaf,80,,20,,,20.14,1.26,,,,,,,,,,,,,,,,,
Red Oakleaf,50,,50,,,18.65,1.1,,,,,,,,,,,,,,,,,
Red Oakleaf,20,,80,,,18.55,0.97,,,,,,,,,,,,,,,,,
Red Oakleaf,,,100,,,22.33,1.16,,,,,,,,,,,,,,,,,
cucumber,90,,10,,,,,22.15,2,7.6,672.2,,,,,,,,,,,,,
lettuce,90,,10,,,36.93,1.9,,,,532.6,,,,,,,,,,,,,
purple basil,66.6667,16.6667,16.6667,4.9,,24.63,1.82,6.06,0.26,18.78,,,,,,,,,,,,,,
purple basil,50,25,25,3.21,,12.68,1.19,4.43,0.24,15,,,,,,,,,,,,,,
purple basil,33.3333,3.3333,33.3333,2.53,,6.09,0.62,3.33,0.13,11.85,,,,,,,,,,,,,,
green basil,66.6667,16.6667,16.6667,6.43,,52.75,7.94,7.59,0.44,26.25,,,,,,,,,,,,,,
green basil,50,25,25,6.03,,42.2,5.92,6.65,0.37,25.75,,,,,,,,,,,,,,
green basil,33.3333,33.3333,33.3333,5.38,,31.23,4.66,4.04,0.24,24.81,,,,,,,,,,,,,,
lettuce,,,100,,,,,23.83,1.18,,,,,,,,,,,,,,,
lettuce,100,,,,,,,1.67,0.05,,,,,,,,,,,,,,,
lettuce,70,,30,,,,,36.33,2.5,,,,,,,,,,,,,,,
potato,100,,,1.04,,0.2965,0.0225,,,11.2,0.9951,717,0.67,,,,,,,,,,,
potato,,,100,1.37,,0.31491,0.03191,,,3.03,1.5432,800.51,0.62,,,,,,,,,,,
potato,65,,35,1.21,,0.414,0.03598,,,8.77,1.3756,792.28,0.64,,,,,,,,,,,
potato,45,20,35,1.27,,0.4302,0.03663,,,7.27,1.3777,834.23,0.67,,,,,,,,,,,
potato leaf,50,,50,7.1,,,,,,25.73,,,,,,,,,,,,,,
potato leaf,,,100,6,,,,,,28.93,,,,,,,,,,,,,,
potato leaf,100,,,6.4,,,,,,25.44,,,,,,,,,,,,,,
morning glory,100,,,2.29,5.5,,,,,29.75,,,,,,,,,,,,,,
morning glory,,,100,2.12,5,,,,,19.05,,,,,,,,,,,,,,
morning glory,50,,50,2.46,5.75,,,,,18.79,,,,,,,,,,,,,,
morning glory,66.6666,,33.3333,2.32,6,,,,,20.53,,,,,,,,,,,,,,
